"STATISTIC","Statistic Label","TLIST(A1)","Year","C03935V04687","Mode of Transport","C01198V01436","Weeks of the year","VALUE"
"THA24C01","Passenger Journeys","2019","2019","30","Rail","1","Week 01",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","2","Week 02",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","3","Week 03",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","4","Week 04",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","5","Week 05",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","6","Week 06",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","7","Week 07",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","8","Week 08",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","9","Week 09",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","10","Week 10",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","11","Week 11",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","12","Week 12",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","13","Week 13",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","14","Week 14",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","15","Week 15",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","16","Week 16",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","17","Week 17",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","18","Week 18",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","19","Week 19",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","20","Week 20",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","21","Week 21",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","22","Week 22",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","23","Week 23",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","24","Week 24",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","25","Week 25",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","26","Week 26",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","27","Week 27",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","28","Week 28",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","29","Week 29",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","30","Week 30",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","31","Week 31",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","32","Week 32",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","33","Week 33",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","34","Week 34",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","35","Week 35",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","36","Week 36",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","37","Week 37",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","38","Week 38",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","39","Week 39",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","40","Week 40",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","41","Week 41",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","42","Week 42",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","43","Week 43",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","44","Week 44",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","45","Week 45",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","46","Week 46",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","47","Week 47",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","48","Week 48",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","49","Week 49",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","50","Week 50",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","51","Week 51",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","52","Week 52",""
"THA24C01","Passenger Journeys","2019","2019","30","Rail","53","Week 53",""
"THA24C01","Passenger Journeys","2020","2020","30","Rail","1","Week 01","697954"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","2","Week 02","899175"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","3","Week 03","925257"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","4","Week 04","959703"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","5","Week 05","1019494"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","6","Week 06","1041672"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","7","Week 07","908680"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","8","Week 08","954421"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","9","Week 09","946324"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","10","Week 10","851347"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","11","Week 11","907046"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","12","Week 12","627170"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","13","Week 13","77149"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","14","Week 14","26302"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","15","Week 15","23231"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","16","Week 16","28071"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","17","Week 17","32787"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","18","Week 18","35354"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","19","Week 19","38142"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","20","Week 20","44431"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","21","Week 21","69766"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","22","Week 22","98967"
