STATISTIC,Statistic Label,TLIST(A1),Year,C03935V04687,Mode of Transport,C01198V01436,Weeks of the year,UNIT,VALUE
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",01,Week 01,Number,2485489
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",02,Week 02,Number,3343343
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",03,Week 03,Number,3462775
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",04,Week 04,Number,3534486
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",05,Week 05,Number,3597261
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",06,Week 06,Number,3676533
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",07,Week 07,Number,3790304
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",08,Week 08,Number,3604972
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",09,Week 09,Number,3695468
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",10,Week 10,Number,3783653
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",11,Week 11,Number,3729482
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",12,Week 12,Number,3407670
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",13,Week 13,Number,3886607
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",14,Week 14,Number,3812412
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",15,Week 15,Number,3818948
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",16,Week 16,Number,3360396
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",17,Week 17,Number,3136749
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",18,Week 18,Number,3718637
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",19,Week 19,Number,3370829
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",20,Week 20,Number,3652188
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",21,Week 21,Number,3639363
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",22,Week 22,Number,3581722
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",23,Week 23,Number,3209364
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",24,Week 24,Number,3514291
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",25,Week 25,Number,3507550
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",26,Week 26,Number,3527023
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",27,Week 27,Number,3658417
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",28,Week 28,Number,3667128
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",29,Week 29,Number,3596712
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",30,Week 30,Number,3653142
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",31,Week 31,Number,3405876
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",32,Week 32,Number,3164567
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",33,Week 33,Number,3422765
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",34,Week 34,Number,3482725
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",35,Week 35,Number,3567603
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",36,Week 36,Number,3743607
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",37,Week 37,Number,3929875
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",38,Week 38,Number,4010829
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",39,Week 39,Number,4018232
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",40,Week 40,Number,3915759
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",41,Week 41,Number,4067984
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",42,Week 42,Number,4044491
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",43,Week 43,Number,3995255
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",44,Week 44,Number,3364007
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",45,Week 45,Number,3906365
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",46,Week 46,Number,3990724
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",47,Week 47,Number,3964812
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",48,Week 48,Number,4045954
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",49,Week 49,Number,3989075
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",50,Week 50,Number,4040078
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",51,Week 51,Number,4067125
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",52,Week 52,Number,1996529
THA24C01,Passenger Journeys,2019,2019,40,"All public transport, excluding LUAS",53,Week 53,Number,
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",01,Week 01,Number,3192321
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",02,Week 02,Number,4382560
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",03,Week 03,Number,4526156
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",04,Week 04,Number,4783243
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",05,Week 05,Number,4926739
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",06,Week 06,Number,4894762
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",07,Week 07,Number,4736640
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",08,Week 08,Number,4729113
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",09,Week 09,Number,4830525
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",10,Week 10,Number,4710632
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",11,Week 11,Number,3944434
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",12,Week 12,Number,1645435
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",13,Week 13,Number,814041
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",14,Week 14,Number,477460
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",15,Week 15,Number,489022
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",16,Week 16,Number,475208
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",17,Week 17,Number,542368
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",18,Week 18,Number,574916
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",19,Week 19,Number,598160
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",20,Week 20,Number,671396
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",21,Week 21,Number,851294
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",22,Week 22,Number,1010073
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",23,Week 23,Number,988184
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",24,Week 24,Number,1243833
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",25,Week 25,Number,1425917
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",26,Week 26,Number,1509519
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",27,Week 27,Number,1782679
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",28,Week 28,Number,1902485
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",29,Week 29,Number,1942958
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",30,Week 30,Number,1990648
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",31,Week 31,Number,2065797
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",32,Week 32,Number,2021031
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",33,Week 33,Number,2082565
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",34,Week 34,Number,1982956
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",35,Week 35,Number,2124360
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",36,Week 36,Number,2331634
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",37,Week 37,Number,2416690
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",38,Week 38,Number,2335157
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",39,Week 39,Number,2245838
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",40,Week 40,Number,2209598
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",41,Week 41,Number,2236078
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",42,Week 42,Number,2181853
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",43,Week 43,Number,1814876
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",44,Week 44,Number,1191582
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",45,Week 45,Number,1635147
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",46,Week 46,Number,1637010
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",47,Week 47,Number,1707528
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",48,Week 48,Number,1742985
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",49,Week 49,Number,2289748
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",50,Week 50,Number,2435121
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",51,Week 51,Number,2512500
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",52,Week 52,Number,1533410
THA24C01,Passenger Journeys,2020,2020,40,"All public transport, excluding LUAS",53,Week 53,Number,979775
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",01,Week 01,Number,1039290
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",02,Week 02,Number,1009862
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",03,Week 03,Number,1009170
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",04,Week 04,Number,1025401
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",05,Week 05,Number,1098464
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",06,Week 06,Number,1070818
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",07,Week 07,Number,1175040
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",08,Week 08,Number,1230680
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",09,Week 09,Number,1330175
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",10,Week 10,Number,1318491
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",11,Week 11,Number,1354709
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",12,Week 12,Number,1424746
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",13,Week 13,Number,1440498
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",14,Week 14,Number,1294761
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",15,Week 15,Number,1709088
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",16,Week 16,Number,1818478
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",17,Week 17,Number,1765624
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",18,Week 18,Number,1599881
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",19,Week 19,Number,1983801
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",20,Week 20,Number,2136594
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",21,Week 21,Number,2347824
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",22,Week 22,Number,2359340
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",23,Week 23,Number,2316503
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",24,Week 24,Number,2441224
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",25,Week 25,Number,2423476
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",26,Week 26,Number,2432684
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",27,Week 27,Number,2360325
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",28,Week 28,Number,2545306
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",29,Week 29,Number,2561063
THA24C01,Passenger Journeys,2021,2021,40,"All public transport, excluding LUAS",30,Week 30,Number,2432424
